address,protocol,propertyid,ecosystem,balanceavailable,balancereserved,balanceaccepted,lasttxdbserialnum
15jY9nQsgzdkuj7Rw2KHGpDKoxv59gDJE8,Omni,2,Test,30013784722,0,0,
15oxQoTsbrX7SJK86HHDY7qD8BzUday2dx,Omni,2,Test,20060373677,0,0,
15sv8nv5MweHeXnHPbiCaNNf8FDtsG3JdW,Omni,2,Test,23672801150,0,0,
163dXoX3bfrM8t8DwbhzfHdGYNQfYfXhK6,Omni,2,Test,703514632937,0,0,
165EtwPtp3dXeHBAXpdtKher8wpR7E4Vwh,Omni,2,Test,10203215939,0,0,
16DQ4vNFBij4zZ3CURpgX1CCmxSw8yrZdr,Omni,2,Test,2124172288,0,0,
16P9gkfoX54maGbX6x7EHz1qnY4n8d7rYh,Omni,2,Test,3103611111,0,0,
16WsVPMRUCdMiT1rMxM9CEspdn7JYD2U5j,Omni,2,Test,29995000000,0,0,
16Y1wE9WEGSySsUNMoKBicQV369C6E1fV,Omni,2,Test,30625927579,0,0,
16akrvw2R2kREZtYET91bUyoPnyhQyur3E,Omni,2,Test,20498392082,0,0,
16kPgvUbpsYfxj9mvpCQqsoZ4c2oJsNfH,Omni,2,Test,10068911438,0,0,
16pdW8RQjJpF37FLMm7R65HBvn6WY33Pq8,Omni,2,Test,1003018683862,0,0,
16qiCQ4ocbM4zRceN8RYwWqBRQoiGCvcNa,Omni,2,Test,10052809193,0,0,
16rQVMZS9k6grNiMybYfznH2R3TViYNMC6,Omni,2,Test,12056734458,0,0,
16rUg4eijBqM6oYrSrUzvghe6QM9CHvTYW,Omni,2,Test,53260166005,0,0,
16uce8E7DuqC5QNmsjMLcbZEmLcUBRGqaj,Omni,2,Test,1512488839,0,0,
172mDyjew7PnUpMRdNPjjv1bU1u4Ftgs3M,Omni,2,Test,1429964285714,0,0,
17CoqK7cqNVLyv1CawzsGT12eTMP2fmHuy,Omni,2,Test,202585582011,0,0,
17LWEZqC2WyZaBo7pKADcsDkA6zFjY1iTC,Omni,2,Test,27072465027,0,0,
17XgPMQXbXr2RmPKKB5FJ3a2UFMw2Gxarh,Omni,2,Test,16306044147,0,0,
17aRFk7cMSTuwpkmLk3Znzfeys2XKLVgML,Omni,2,Test,20105555556,0,0,
17bGDJTMeiWx4LJdf8gECEPFMmCpY2jA66,Omni,2,Test,336161142053,0,0,
17crSnfzrevwmqQo7QavEFr4QcaYujbosE,Omni,2,Test,32783859127,0,0,
17czXHWXFLVUdgiQSc9FJDT6Fi7ooXj6Uf,Omni,2,Test,35270050808,0,0,
17dTm9LYvNzNT4AM1kum557L539YXS5y7S,Omni,2,Test,16420711963,0,0,
17dkzPoFrkw5V2sDsBqSbbbvygaPzWsz68,Omni,2,Test,50052794,0,0,
17ezCD79i6qmzPPBtD8acNbHgjsTRoJxni,Omni,2,Test,40225271164,0,0,
17hvZSX8rxn4oqWHvsWNd6BNq8jTftTvMj,Omni,2,Test,1436649636,0,0,
17kLc6ZYAbVPpZkCrvdUE3K4NBLSKGxtPb,Omni,2,Test,25062153399,0,0,
17nnHLr8gKn6quWJo2orbkxgPj8Y9vcMZj,Omni,2,Test,41189316096,0,0,
17t1avq2qk3R4Q3qzSZgjj1FihTgS5JgvY,Omni,2,Test,79739136905,0,0,
17tJw9CG4ufjA1yXd4TFR1wqdgMUFzi5n1,Omni,2,Test,13855634921,0,0,
17xU8miooPMkdK9ZWuQr9NESpr38tHryjG,Omni,2,Test,2013225295,0,0,
181mY7b9oWKsyf5Q1K4TaJA3JhNoxSrt1S,Omni,2,Test,1504531195,0,0,
18D38HyzBmzArrcHz1jBTVvatvxTnBKRCp,Omni,2,Test,10031914683,0,0,
18JLWH8smwG59zab7j4DqDLZULfK1iEUoH,Omni,2,Test,6013069444,0,0,
18QTFj5KmMSoYMrCuRGgxdywj3xXYtCvzd,Omni,2,Test,53115530488,0,0,
18Se5aMNvhYTJoVT4bARcJVVT51mHBwjbJ,Omni,2,Test,32287207341,0,0,
18WANHBTcj8u2GU1PY4h1iG4EbvgYJM4gL,Omni,2,Test,303797619048,0,0,
18XV6qXP7U7HV22Y1PajAiuLfGbkBc3Jfg,Omni,2,Test,26142960482,0,0,
18YwerNLcJhn1ZC55yoiYHevuuobmW3Pww,Omni,2,Test,10741519511,0,0,
18cSnNojZK11mLRk9ND3iosxrvZ9VBXtBh,Omni,2,Test,10000000000,0,0,
18ebxtqmwE2MMJtHbpAosrKEem8go9qc9,Omni,2,Test,7070485284,0,0,
18fjRdAxg1aQbw1DeNM68nsD2PiEfayqfJ,Omni,2,Test,302451636905,0,0,
18hTHcNvBrGduvG4hG55C6nzRWX5F43qam,Omni,2,Test,3005833333,0,0,
18hoYB6KH5nTu6iE1SH3fNKnnRKFe2vaxF,Omni,2,Test,1303966270,0,0,
18iT8DhkKDEMya2bDN1HRKEv6tWSQEgSbi,Omni,2,Test,12259252821,0,0,
18mPaJtGX2ots48KdQr4FZLhDSbgyzfnP9,Omni,2,Test,51683887236,0,0,
18rw5npF8gTGMNwk3hZNq3sqTT74Mm8zoh,Omni,2,Test,10220762978,0,0,
18toyySRFSWc56EF6tRXMKQK5UCPgGz39T,Omni,2,Test,997785112,0,0,
196V2uB471HoMHwbkQRQRiwd3aYpU6RtWg,Omni,2,Test,5994129166667,0,0,
19ABrTW1XhWErJxE3UvfNuBRzB4w6UcTRp,Omni,2,Test,5040860615,0,0,
19AJ7rVbFeeyeoWjjWm5xrGaoTwPH5bLpY,Omni,2,Test,4365305556,0,0,
19V6mbsUWfKeRJyHvPpmjarUyj6Arm9zcQ,Omni,2,Test,2018758267,0,0,
19feAR37pguLwDyEMc8oiW2WT4esrgR5z6,Omni,2,Test,5544255126,0,0,
19mSdN6s9iBHFyJ2ycHbzQ7dcnfgZHN8Cu,Omni,2,Test,273714253,0,0,
19rKrjPfydDQtHfWHcFcnfXjhGzQjkAC6B,Omni,2,Test,5068087798,0,0,
19x2pAiyH5SM3ubJyrKaEgfxVgRB9131wS,Omni,2,Test,10380095055,0,0,
1A14hK16TgHCYzyqHm2VNZDe8ShYuZ981x,Omni,2,Test,11090075859,0,0,
1AAciKr6aNMwcYrApgAp336e8EjBwrYPWj,Omni,2,Test,132038340067,0,0,
1AKQX7Qso4UQeAPD7rPWnDAQr43z6eByui,Omni,2,Test,156612276786,0,0,
1ALeLAXtnZrbJHNhWLW5BvNtL1uP5TqJU8,Omni,2,Test,5098438327,0,0,
1Ao6nURcqduZzsHHPJyKa7kyzTASVPP66L,Omni,2,Test,10045160384,0,0,
1AoYNhBr3F1yTumvtWB2bfsJ6gYZJXdDd9,Omni,2,Test,10091784061,0,0,
1AsX2fv1QRFgCYT3F1YMWm37nWnW8TkZnm,Omni,2,Test,14525201389,0,0,
1AxxvjavPMEiyT7quRVrfWj9xjgv27PSCS,Omni,2,Test,66971585648,0,0,
1B2aZeoqGVrZUJg36waug8dNiDK7yX4JoT,Omni,2,Test,326956647,0,0,
1B6cMHmdRnGgsAGzyBv4JeBjoxXgcrigk5,Omni,2,Test,5649682540,0,0,
1B7GKDsgtgpxp87W1LHskh2Y9Qy8vMH8Ri,Omni,2,Test,10031433532,0,0,
1BFqkdUDwp7k1Qa43vmSWEfj6gaoUVswwZ,Omni,2,Test,10628277116,0,0,
1BHQeERPiQfQbxc1NYgoYosWqWguKprhkH,Omni,2,Test,220466081,0,0,
1BMpnWtwT8yCaYrncb2K9HCeE1NMQKX5xv,Omni,2,Test,23044887566,0,0,
